"# Regresion (M2, modelo efimon). Generado 2026-07-12 00:15:19. NNLS CON INTERCEPTO ajustado (P_idle = P_static de la regresion; barrido de intensidad d100/d60/d30). n=45 corridas, R2=0.9834, RMSE=1.68 mW, cond=7.8"
parametro,coef,unidad
P_idle,1.146851,W
T_idle,39.73,C
alu,2.120916e-09,J/instr
mul,1.083360e-09,J/instr
mulh,9.697143e-09,J/instr
div,4.226872e-10,J/ciclo
mem,2.426118e-09,J/instr
ctrl,9.430617e-09,J/instr
float,3.493783e-09,J/instr
