"# Regresion (M2, modelo efimon). Generado 2026-07-12 00:49:51. NNLS CON INTERCEPTO ajustado (P_idle = P_static de la regresion; barrido de intensidad d100/d60/d30). n=45 corridas, R2=0.9820, RMSE=1.75 mW, cond=7.8"
parametro,coef,unidad
P_idle,1.146841,W
T_idle,39.12,C
alu,2.074783e-09,J/instr
mul,1.215360e-09,J/instr
mulh,8.672829e-09,J/instr
div,4.202513e-10,J/ciclo
mem,2.446169e-09,J/instr
ctrl,9.660466e-09,J/instr
float,3.609735e-09,J/instr
