"# Regresion (M2, modelo efimon). Generado 2026-07-13 19:46:33. NNLS CON INTERCEPTO ajustado (P_idle = P_static de la regresion; barrido de intensidad d100/d60/d30). n=48 corridas, R2=0.9820, RMSE=1.73 mW, cond=7.4"
parametro,coef,unidad
P_idle,1.142792,W
T_idle,38.87,C
alu,2.578300e-09,J/instr
mul,1.859512e-09,J/instr
mulh,3.936955e-09,J/instr
div,4.044494e-10,J/ciclo
mem,1.856603e-09,J/instr
ctrl,8.119103e-09,J/instr
float,3.339569e-09,J/instr
