fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-12 11:41:48,bucles,sha256,5.292,1.173333,1.165857,-0.6372,41.58,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-12 11:47:55,regresion,bitcount,93.699,1.176253,1.175865,-0.0330,41.33,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 11:48:20,regresion,bsearch,12.111,1.171733,1.172532,0.0682,41.70,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 16:32:29,bucles,sha256,5.292,1.165169,1.166931,0.1512,39.37,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-12 16:38:45,bucles,fpmem,12.315,1.164685,1.165548,0.0741,40.60,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-12 17:22:05,bucles,fpalu,11.794,1.163906,1.161243,-0.2288,38.01,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-12 17:22:34,bucles,fpctrl,15.378,1.161932,1.161404,-0.0455,37.89,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-12 17:23:00,bucles,fpgain,12.306,1.163757,1.158859,-0.4209,38.50,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-12 17:23:27,bucles,logistic,13.330,1.161916,1.162340,0.0365,38.38,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-12 17:23:50,bucles,ycbcr,10.258,1.161087,1.159474,-0.1389,38.63,20660014,0,0,0,0,20480004,5120001,10240000,102580021
2026-07-12 17:26:45,bucles,bitcount,93.699,1.167727,1.165714,-0.1724,39.49,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 17:27:10,bucles,bsearch,12.111,1.162899,1.163210,0.0268,39.49,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 17:34:27,bucles,bitcount,93.699,1.162515,1.165714,0.2751,41.46,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 17:34:52,bucles,bsearch,12.111,1.168274,1.163210,-0.4334,41.46,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 17:43:02,bucles,bitcount,93.699,1.213063,1.165714,-3.9033,53.52,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 17:43:27,bucles,bsearch,12.111,1.206198,1.163210,-3.5639,52.28,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 17:48:47,bucles,conv,306.634,1.175288,1.162792,-1.0633,39.12,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 17:49:13,bucles,fixmul,11.745,1.162071,1.159165,-0.2500,39.24,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 17:49:32,bucles,floyd,4.795,1.162888,1.164019,0.0973,39.12,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-12 18:48:05,regresion,bitcount,93.699,1.185210,1.187852,0.2229,44.78,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 18:48:32,regresion,bsearch,12.111,1.177297,1.183434,0.5213,44.66,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 18:54:38,regresion,bitcount,93.699,1.170642,1.171710,0.0912,38.75,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 18:55:04,regresion,bsearch,12.111,1.165801,1.167641,0.1579,38.50,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 19:00:26,regresion,conv,306.634,1.162771,1.165837,0.2637,37.40,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 19:00:53,regresion,fixmul,11.745,1.162265,1.166345,0.3510,37.40,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 19:01:12,regresion,floyd,4.795,1.163186,1.167504,0.3712,37.15,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-12 19:01:45,regresion,fpalu,11.794,1.167719,1.166478,-0.1063,37.15,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-12 19:02:30,regresion,fpctrl,15.378,1.165258,1.167677,0.2076,37.40,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-12 19:02:55,regresion,fpgain,12.306,1.166917,1.163656,-0.2795,37.27,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-12 19:03:21,regresion,fpmem,12.315,1.164160,1.166831,0.2294,37.27,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-12 19:03:47,regresion,logistic,13.330,1.165251,1.167493,0.1924,37.15,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-12 19:04:33,regresion,md5,32.088,1.166677,1.167658,0.0841,37.40,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-12 19:04:54,regresion,primes,5.451,1.154773,1.154913,0.0121,37.40,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-12 19:05:14,regresion,sha256,5.292,1.167342,1.167199,-0.0122,37.52,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-12 19:05:38,regresion,ycbcr,10.258,1.164742,1.164075,-0.0573,37.40,20660014,0,0,0,0,20480004,5120001,10240000,102580021
2026-07-12 19:07:48,regresion,bitcount,93.699,1.170594,1.167776,-0.2407,37.89,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-12 19:08:35,regresion,bsearch,12.111,1.165649,1.163358,-0.1965,37.77,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-12 19:13:56,regresion,conv,306.634,1.163012,1.162253,-0.0652,38.01,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-12 19:14:22,regresion,fixmul,11.745,1.162470,1.162411,-0.0050,37.89,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-12 19:14:41,regresion,floyd,4.795,1.163245,1.162842,-0.0346,37.64,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-12 19:15:06,regresion,fpalu,11.794,1.167414,1.162195,-0.4471,37.77,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-12 19:15:35,regresion,fpctrl,15.378,1.165162,1.162665,-0.2143,37.52,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-12 19:16:00,regresion,fpgain,12.306,1.166343,1.158644,-0.6601,37.52,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-12 19:16:26,regresion,fpmem,12.315,1.163812,1.161470,-0.2013,37.40,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-12 19:16:54,regresion,logistic,13.330,1.164641,1.161752,-0.2480,37.27,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-12 19:17:40,regresion,md5,32.088,1.166277,1.163374,-0.2489,37.77,203880020,0,0,0,0,16320004,21120001,0,320880028
