fecha,name,P_med_W,T_s,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
2026-06-17,md5,5.072519,30.696,0x0a2644ef,0x00000000,0x0057e400,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0166e32c,0x00000000,0x022acf50,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0000004f,0x124bd7ec
2026-06-17,floyd,5.068222,74.701,0x0d29e30d,0x00000000,0x00000320,0x00000000,0x00000000,0x00000000,0x000ef740,0x00000000,0x064ca5e4,0x00000000,0x05cd38d7,0x00000000,0x00000000,0x00000000,0x01a30e20,0x00000000,0x1537613c,0x41bdcac0
2026-06-17,bitcount,5.072254,78.211,0x100ca646,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x004e7224,0x00000000,0x09fc3b40,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x44b92f0c,0x73574444
2026-06-17,primes,5.059242,5.453,0x0033b2f8,0x00000000,0x001588bc,0x00000000,0x00000000,0x00000000,0x001523f4,0x00000000,0x0000007c,0x00000000,0x001c9711,0x00000000,0x00000000,0x00000000,0x028e4cc8,0x00000000,0x794f2876,0x7c8f4077
2026-06-17 23:47:29,primes,5.059044,5.453,0x0033b2f8,0x00000000,0x001588bc,0x00000000,0x00000000,0x00000000,0x001523f4,0x00000000,0x0000007c,0x00000000,0x001c9711,0x00000000,0x00000000,0x00000000,0x028e4cc8,0x00000000,0xfc1eed76,0xff5f0577
2026-06-17 23:49:45,primes,5.061081,5.453,0x0033b2f8,0x00000000,0x001588bc,0x00000000,0x00000000,0x00000000,0x001523f4,0x00000000,0x0000007c,0x00000000,0x001c9711,0x00000000,0x00000000,0x00000000,0x028e4cc8,0x00000000,0x4d32a57d,0x5072bd7e
2026-06-17 23:55:17,../elf/float,5.071446,229.117,0x00000000,0x00000000,0x028e4cc8,0x00000000,0x4d32a57d,0x5072bd7e,0x0313c602,0x6e113e80,0x48814601,0x00c587b3,0x07b36394,0x639000c5,0x00c807b3,0x77d36398,0x06111006,0x78b6f7c7,0x781777cb,0x00a7f7d3
