# Bucles dominados (M1). Generado 2026-07-08 14:15:48.,coef=(P_cat-P_idle)*T/n; div usa DIVCYC.
parametro,coef,unidad
P_idle,1.158253,W
T_idle,43.92,C
alu,2.239642e-09,J/instr
mul,1.625813e-09,J/instr
mulh,4.318955e-09,J/instr
div,4.624438e-10,J/ciclo
mem,2.105465e-09,J/instr
ctrl,5.525607e-09,J/instr
float,2.707045e-09,J/instr
