fecha,categoria,rep,P_med_W,P_idle_ref_W,delta_W,T_s,denom,coef,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-06-18 23:46:54,idle,1,9.146644,,,0.004901,,,11008,0,0,0,0,7002,999,0,2925000002
2026-06-19 00:06:20,idle,1,9.142861,,,0.004901,,,11008,0,0,0,0,7002,999,0,2925000002
2026-06-19 00:11:28,alu,1,9.163136,,,292.5,,,2891250013,0,0,0,0,2,11249999,0,2925000002
2026-06-19 00:16:39,mul,1,9.155811,,,292.5,,,11250013,2880000000,0,0,0,2,11249999,0,2925000002
2026-06-19 00:21:53,mulh,1,9.149934,,,298.53,,,2325013,0,595200000,0,0,2,2324999,0,2985300002
2026-06-19 00:27:08,div,1,9.148172,,,299.935,,,557513,0,0,142720000,2997120000,2,557499,0,2999350002
2026-06-19 00:32:20,mem,1,9.153939,,,296.125,,,5750013,0,0,0,0,1472000002,5749999,0,2961250003
2026-06-19 00:37:30,ctrl,1,9.155008,,,294.120001,,,5700009,0,0,0,0,2,1464899999,0,2941200005
2026-06-19 00:42:38,float,1,9.164029,,,291.600001,,,9000009,0,0,0,0,2,8999999,2304000000,2916000005
