fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-15 12:58:51,regresion,bitcount,93.699,1.168508,1.169965,0.1247,39.61,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-15 12:59:17,regresion,bsearch,12.111,1.163954,1.165896,0.1669,39.49,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-15 13:04:49,regresion,conv,306.634,1.160727,1.164092,0.2899,39.24,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-15 13:07:23,regresion,divsum,49.510,1.149380,1.150121,0.0645,39.12,12096019,0,0,15960000,467040000,4,3990001,0,495096022
2026-07-15 13:08:10,regresion,fixmul,11.745,1.159576,1.164600,0.4333,39.24,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-15 13:08:31,regresion,floyd,4.795,1.160884,1.165759,0.4199,39.24,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-15 13:09:04,regresion,fpalu,11.794,1.165101,1.164733,-0.0316,39.24,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-15 13:09:44,regresion,fpctrl,15.378,1.163059,1.165932,0.2470,39.24,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-15 13:10:16,regresion,fpgain,12.306,1.164654,1.161911,-0.2355,39.24,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-15 13:10:44,regresion,fpmem,12.315,1.161668,1.165086,0.2942,39.24,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-15 13:11:14,regresion,logistic,13.330,1.162832,1.165748,0.2507,39.37,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-15 13:12:04,regresion,md5,32.088,1.164181,1.165913,0.1487,39.49,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-15 13:13:21,regresion,mixed,61.600,1.160700,1.161327,0.0540,39.61,104000013,51200000,0,0,0,102400004,51200001,0,616000016
2026-07-15 13:13:44,regresion,primes,5.451,1.152488,1.153168,0.0590,39.37,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-15 13:14:05,regresion,sha256,5.292,1.164861,1.165454,0.0509,39.61,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-15 13:14:41,regresion,wmul,24.930,1.156563,1.165682,0.7885,39.61,29700017,0,43200000,0,0,4,900001,0,249300020
2026-07-15 13:15:09,regresion,ycbcr,10.258,1.162082,1.162330,0.0213,39.61,20660014,0,0,0,0,20480004,5120001,10240000,102580021
