fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-18 12:54:31,regresion,aqsort,23.355,1.167455,1.170861,0.2917,39.73,84474017,0,0,0,0,28188011,29232005,0,233550035
2026-07-18 12:55:09,regresion,dijkstra,23.375,1.168457,1.166973,-0.1270,39.86,63315574,4788000,0,0,0,56615245,15843599,0,233748065
2026-07-18 12:55:47,regresion,gray,22.959,1.169851,1.170683,0.0711,40.10,65628137,17024,0,0,0,16425032,8193024,73728000,229586290
2026-07-18 12:56:23,regresion,huffbench,19.028,1.166767,1.170387,0.3102,39.86,26791651,2700000,0,1802544,42383952,20176193,31181370,0,190278185
2026-07-18 12:57:01,regresion,jfdctint,23.790,1.169752,1.166557,-0.2731,40.23,123750264,28800064,0,64,1216,41400205,2850085,0,237902187
2026-07-18 12:57:38,regresion,levenshtein,22.750,1.169335,1.172519,0.2723,39.98,104044018,10228000,0,0,0,31420011,25148005,0,227496036
2026-07-18 12:58:19,regresion,mont64,26.664,1.170083,1.171411,0.1135,39.98,192600029,1040000,880000,0,0,3200023,19440005,0,266640066
2026-07-18 12:58:57,regresion,nettleaes,21.277,1.169494,1.168515,-0.0837,40.23,129190307,6000,0,312000,9672000,40288035,4440772,0,212768930
2026-07-18 12:59:28,regresion,ns,16.116,1.166065,1.171068,0.4291,40.10,51960017,600000,0,0,0,12540011,23880005,0,161160035
2026-07-18 13:00:06,regresion,ud,23.766,1.166273,1.168469,0.1883,40.10,91135017,8085000,0,1155000,36080000,27060011,20185005,0,237655035
