fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-13 09:41:32,regresion,bitcount,93.699,1.167347,1.169344,0.1710,39.73,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-13 09:41:59,regresion,bsearch,12.111,1.163271,1.165275,0.1723,39.86,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-13 09:47:23,regresion,conv,306.634,1.161306,1.163471,0.1865,40.47,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-13 09:48:29,regresion,divsum,49.510,1.150734,1.149500,-0.1072,40.60,12096019,0,0,15960000,467040000,4,3990001,0,495096022
2026-07-13 09:48:56,regresion,fixmul,11.745,1.161093,1.163979,0.2486,40.47,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-13 09:49:17,regresion,floyd,4.795,1.162200,1.165138,0.2528,40.60,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-13 09:49:44,regresion,fpalu,11.794,1.166640,1.164112,-0.2167,40.72,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-13 09:50:13,regresion,fpctrl,15.378,1.164600,1.165311,0.0610,40.72,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-13 09:50:40,regresion,fpgain,12.306,1.166089,1.161290,-0.4116,40.35,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-13 09:51:08,regresion,fpmem,12.315,1.163315,1.164465,0.0989,40.47,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-13 09:51:36,regresion,logistic,13.330,1.164331,1.165127,0.0683,40.47,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-13 09:52:24,regresion,md5,32.088,1.165842,1.165292,-0.0472,40.60,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-13 09:53:42,regresion,mixed,61.600,1.162284,1.160706,-0.1358,40.72,104000013,51200000,0,0,0,102400004,51200001,0,616000016
2026-07-13 09:54:03,regresion,primes,5.451,1.154317,1.152547,-0.1533,40.60,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-13 09:54:21,regresion,sha256,5.292,1.166771,1.164833,-0.1661,40.60,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-13 09:55:02,regresion,wmul,24.930,1.157904,1.165061,0.6181,40.72,29700017,0,43200000,0,0,4,900001,0,249300020
2026-07-13 09:55:26,regresion,ycbcr,10.258,1.163518,1.161709,-0.1555,40.72,20660014,0,0,0,0,20480004,5120001,10240000,102580021
