fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-13 19:52:09,regresion,bitcount,93.699,1.165943,1.169073,0.2684,39.12,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-13 19:52:35,regresion,bsearch,12.111,1.161312,1.164931,0.3116,39.00,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-13 19:57:56,regresion,conv,306.634,1.159049,1.163455,0.3801,38.87,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-13 19:59:01,regresion,divsum,49.510,1.147738,1.148306,0.0494,38.63,12096019,0,0,15960000,467040000,4,3990001,0,495096022
2026-07-13 19:59:27,regresion,fixmul,11.745,1.157938,1.157045,-0.0771,38.63,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-13 19:59:46,regresion,floyd,4.795,1.158804,1.164988,0.5336,38.63,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-13 20:00:12,regresion,fpalu,11.794,1.163426,1.162967,-0.0394,38.75,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-13 20:00:42,regresion,fpctrl,15.378,1.161294,1.164549,0.2803,38.75,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-13 20:01:09,regresion,fpgain,12.306,1.162813,1.158943,-0.3328,38.75,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-13 20:01:36,regresion,fpmem,12.315,1.159565,1.162396,0.2442,38.75,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-13 20:02:05,regresion,logistic,13.330,1.160635,1.164289,0.3148,38.75,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-13 20:02:51,regresion,md5,32.088,1.162317,1.165876,0.3062,38.63,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-13 20:04:07,regresion,mixed,61.600,1.158575,1.158939,0.0314,38.75,104000013,51200000,0,0,0,102400004,51200001,0,616000016
2026-07-13 20:04:25,regresion,primes,5.451,1.150525,1.151643,0.0972,38.50,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-13 20:04:45,regresion,sha256,5.292,1.162550,1.166464,0.3366,38.26,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-13 20:05:25,regresion,wmul,24.930,1.154408,1.153393,-0.0879,38.38,29700017,0,43200000,0,0,4,900001,0,249300020
2026-07-13 20:05:49,regresion,ycbcr,10.258,1.159742,1.159492,-0.0216,38.75,20660014,0,0,0,0,20480004,5120001,10240000,102580021
