fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-17 22:11:41,regresion,aes128,81.104,1.162777,1.164221,0.1241,39.73,262421325,18432010,0,0,0,196615961,45185228,0,811042626
2026-07-17 22:12:58,regresion,dct8x8,60.712,1.162943,1.166477,0.3039,39.73,284515361,24578524,24576000,0,0,52324047,25697524,0,607117047
2026-07-17 22:13:34,regresion,dijkstra,20.865,1.163831,1.165515,0.1447,39.61,59762439,1024,0,0,0,25818845,23865683,0,208648182
2026-07-17 22:14:20,regresion,qsort,30.286,1.165321,1.167668,0.2014,39.86,111461556,1536000,0,0,0,51820589,31737933,0,302861198
2026-07-17 22:15:09,regresion,rle,34.402,1.165345,1.167254,0.1638,39.86,120539689,256,0,0,0,47764371,39240733,0,344024711
2026-07-17 22:18:03,regresion,sieve,158.691,1.164991,1.166273,0.1100,39.61,673520020,450000,0,0,0,180025005,147800001,0,1586905024
