fecha,metodo,programa,T_s,P_med_W,P_pred_W,err_pct,temp_C,n_alu,n_mul,n_mulh,n_div,c_div,n_mem,n_ctrl,n_float,mcycle
2026-07-13 09:19:34,regresion,bitcount,93.699,1.162800,1.164139,0.1151,37.15,517150016,0,0,0,0,5120004,133120001,0,936990023
2026-07-13 09:20:02,regresion,bsearch,12.111,1.158433,1.160070,0.1413,37.52,60622612,0,0,0,0,6694406,11625412,0,121113466
2026-07-13 09:25:24,regresion,conv,306.634,1.157106,1.158266,0.1003,38.63,1473186020,174592000,0,0,0,360096004,174592001,0,3066338027
2026-07-13 09:26:28,regresion,divsum,49.510,1.146941,1.144295,-0.2307,38.50,12096019,0,0,15960000,467040000,4,3990001,0,495096022
2026-07-13 09:26:56,regresion,fixmul,11.745,1.157139,1.158774,0.1413,38.50,29250017,14400000,14400000,0,0,4,450001,0,117450020
2026-07-13 09:27:15,regresion,floyd,4.795,1.158247,1.159933,0.1456,38.50,26650815,0,0,0,0,4915204,3276801,0,47950022
2026-07-13 09:27:52,regresion,fpalu,11.794,1.162606,1.158907,-0.3182,38.75,46260018,0,0,0,0,20480004,5120001,10240000,117940025
2026-07-13 09:28:22,regresion,fpctrl,15.378,1.160653,1.160106,-0.0471,38.75,69299770,0,0,0,0,15360004,12800594,5120000,153781209
2026-07-13 09:28:50,regresion,fpgain,12.306,1.162389,1.156085,-0.5423,38.50,20660014,0,0,0,0,25600004,5120001,15360000,123060021
2026-07-13 09:29:16,regresion,fpmem,12.315,1.159443,1.159260,-0.0158,38.75,30990014,0,0,0,0,23040004,7680001,15360000,123150021
2026-07-13 09:29:48,regresion,logistic,13.330,1.160412,1.159922,-0.0423,38.75,59060956,0,0,0,0,15360004,10240001,5120000,133300023
2026-07-13 09:30:35,regresion,md5,32.088,1.161857,1.160087,-0.1524,39.00,203880020,0,0,0,0,16320004,21120001,0,320880028
2026-07-13 09:31:53,regresion,mixed,61.600,1.158400,1.155501,-0.2503,39.12,104000013,51200000,0,0,0,102400004,51200001,0,616000016
2026-07-13 09:32:12,regresion,primes,5.451,1.150485,1.147342,-0.2732,38.75,5081833,1411260,0,1385460,42880200,4,1591141,0,54506480
2026-07-13 09:32:34,regresion,sha256,5.292,1.162623,1.159628,-0.2576,39.00,41790020,0,0,0,0,3360004,1120001,0,52920028
2026-07-13 09:33:20,regresion,wmul,24.930,1.154463,1.159856,0.4671,38.75,29700017,0,43200000,0,0,4,900001,0,249300020
2026-07-13 09:33:46,regresion,ycbcr,10.258,1.159979,1.156504,-0.2996,39.24,20660014,0,0,0,0,20480004,5120001,10240000,102580021
