# Bucles dominados (M1). Generado 2026-07-12 07:07:46.,coef=(P_cat-P_idle)*T/n; div usa DIVCYC.
parametro,coef,unidad
P_idle,1.145621,W
T_idle,38.71,C
alu,2.220488e-09,J/instr
mul,1.326697e-09,J/instr
mulh,4.971256e-09,J/instr
div,3.765466e-10,J/ciclo
mem,2.180940e-09,J/instr
ctrl,5.313426e-09,J/instr
float,2.568061e-09,J/instr
